State,CSS,id,National Service Life Insurance,Service-Disabled Veterans Insurance,United States Government Life Insurance,Veterans Mortgage Life Insurance,Veterans Reopend Insurance,Veterans Special Life Insurance,Total,population 2010,est. pop. 2012,policies per 1000 people
North Dakota,"#policy .ND,",ND,"1,464",510,5,7,72,378,"2,436","672,591","699,628",3.48
Ohio,"#policy .OH,",OH,"22,019","5,896",42,72,924,"5,464","34,417","11,536,504","11,544,225",2.98
Oklahoma,"#policy .OK,",OK,"5,710","5,239",31,51,204,"1,063","12,298","3,751,351","3,814,820",3.22
Oregon,"#policy .OR,",OR,"7,795","2,926",71,37,213,"1,587","12,629","3,831,074","3,899,353",3.24
Pennsylvania,"#policy .PA,",PA,"32,001","7,176",78,48,"1,550","8,580","49,433","12,702,379","12,763,536",3.87
Rhode Island,"#policy .RI,",RI,"2,623",635,13,6,173,673,"4,123","1,052,567","1,050,292",3.93
South Carolina,"#policy .SC,",SC,"7,605","5,768",44,45,224,"1,941","15,627","4,625,364","4,723,723",3.31
South Dakota,"#policy .SD,",SD,"1,808",727,6,5,88,531,"3,165","814,180","833,354",3.80
Tennessee,"#policy .TN,",TN,"8,160","4,825",51,97,304,"2,059","15,496","6,346,105","6,456,243",2.40
Texas,"#policy .TX,",TX,"31,372","18,165",149,279,863,"6,328","57,156","25,145,561","26,059,203",2.19
Utah,"#policy .UT,",UT,"4,182",899,22,13,163,934,"6,213","2,763,885","2,855,287",2.18
Vermont,"#policy .VT,",VT,"1,391",322,6,5,37,374,"2,135","625,741","626,011",3.41
Virginia,"#policy .VA,",VA,"15,611","6,201",126,71,453,"3,130","25,592","8,001,024","8,185,867",3.13
Washington,"#policy .WA,",WA,"13,462","3,974",142,76,381,"2,418","20,453","6,724,540","6,897,012",2.97
West Virginia,"#policy .WV,",WV,"2,592","2,382",8,29,122,798,"5,931","1,852,994","1,855,413",3.20
Wisconsin,"#policy .WI,",WI,"13,088","3,806",47,53,529,"3,501","21,024","5,686,986","5,726,398",3.67
Wyoming,"#policy .WY,",WY,"1,055",325,2,7,34,241,"1,664","563,626","576,412",2.89
